Baby Cafe,https:\/\/www.zomato.com\/chennai\/baby-cafe-t-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 30, Suganthi Complex, Rameswaram Road, T. Nagar, Chennai",Chennai
Raghul Tiffin Centre,https:\/\/www.zomato.com\/chennai\/raghul-tiffin-centre-t-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 5\/13, Rameswaram Road, T. Nagar, Chennai",Chennai
New Nellai Mess,https:\/\/www.zomato.com\/chennai\/new-nellai-mess-t-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 12, Rameswaram Road",Chennai
Candose,https:\/\/www.zomato.com\/chennai\/candose-t-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 28, Kala Flats, Rameswaram Road, T. Nagar, Chennai",Chennai
Madras Cafe,https:\/\/www.zomato.com\/chennai\/madras-cafe-t-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"New Saibaba Temple, Rameswaram Road, T. Nagar, Chennai",Chennai
Starbucks,https:\/\/www.zomato.com\/chennai\/starbucks-nungambakkam?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Ground Floor, Bergamo Mall, Khader Nawaz Khan Road, Nungambakkam, Chennai",Chennai
Bismillah Biriyani,https:\/\/www.zomato.com\/chennai\/bismillah-biriyani-t-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 24, Rameswaram Road, T. Nagar, Chennai",Chennai
Bismillah Thalapakattu Briyani & Fast Food,https:\/\/www.zomato.com\/chennai\/bismillah-thalapakattu-briyani-fast-food-t-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 24, Rameswaram Road, T. Nagar, Chennai",Chennai
Ambur Biriyani,https:\/\/www.zomato.com\/chennai\/ambur-biriyani-t-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 15, Rameswaram Road, T. Nagar, Chennai",Chennai
Kumbakonam Iyengaran Coffee,https:\/\/www.zomato.com\/chennai\/kumbakonam-iyengaran-coffee-ramapuram?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 3\/13, Bharathi Salai, Ramapuram, Chennai",Chennai
King Burger & Juice & Snacks,https:\/\/www.zomato.com\/chennai\/king-burger-juice-snacks-gst-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"71, Pilliyar Koil Street, Srm College Back Gate, GST Road, Chennai",Chennai
Kumbakonam Ayangaran Coffee,https:\/\/www.zomato.com\/chennai\/kumbakonam-ayangaran-coffee-ramapuram?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 3\/13, Bharathi Salai, Ramapuram, Chennai",Chennai
Shree Lakshmi Bhavan,https:\/\/www.zomato.com\/chennai\/shree-lakshmi-bhavan-ramapuram?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 70, Valluvar Salai, Ramapuram, Chennai",Chennai
Curry Home Hurry,https:\/\/www.zomato.com\/chennai\/curry-home-hurry-besant-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"E 28, 2nd Avenue, Besant Nagar, Chennai",Chennai
Annam Cafe,https:\/\/www.zomato.com\/chennai\/annam-cafe-gst-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"7, Thailavaram, Near SRM College, Pothheri, GST Road, Chennai",Chennai
Rumali Restaurant,https:\/\/www.zomato.com\/chennai\/rumali-restaurant-gst-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"19, Bajanai Koil Street, West Potheri, SRM Back Gate, GST Road, Chennai",Chennai
Bihari Dhaba,https:\/\/www.zomato.com\/chennai\/bihari-dhaba-gst-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"12, Bhajana Koil Street, SRM College Back Gate, GST Road, Chennai",Chennai
Rajasthani Gujrati Dhaba,https:\/\/www.zomato.com\/chennai\/rajasthani-gujrati-dhaba-gst-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1, Perumal Koil Street, SRM College Back Gate, GST Road, Chennai",Chennai
